1;ALIMENTACIÓN; Sindicato de Trabajadores de Industrias de la Alimentación.;www.stia.com.ar
2;BINGOS Y JUEGOS DE AZAR; ALEARA.;www.aleara.com.ar
3;BODEGAS Y VIÑEDOS; Obra Social del Personal de la Actividad Vitivinícola - Sindicato.;www.ospav.com.ar
4;CAMIONEROS (CCT 40/89); Sindicato de Choferes de Camiones.;www.camioneros-ba.org.ar
5;CARNE; Federación Gremial del Personal de la Industria de la Carne y sus Derivados.;www.Federaciondelacarne.org
6;COMERCIO y SERVICIOS (CCT 130/75); Federación Argentina de Empleados de Comercio y Servicios.;www.faecys.org.ar
7;CONSTRUCCION (CCT 76/75); Unión Obrera de la Construcción de la República Argentina.;www.uocra.com.ar
8;CUERO; Cámara Industrial de las Manofacturas del Cuero y Afines.;www.cuerocima.com.ar
9;DOCENTES; Sindicato Argentino de Docentes Privados.;www.sadop.net
10;ENTIDADES DEPORTIVAS; Unión Trabajadores Entidades Deportivas y Civiles.;www.utedyc.org.ar
11;ESTACIONES DE SERVICIO; Asociación Estaciones de Servicio de la República Argentina.;www.notiaes.com
12;FARMACIA; Asociación de Empleados de Farmacia.;www.adef.com.ar
13;GASTRONÓMICOS, HOTELEROS, TURISMO; Unión de Trabajadores del Turismo, Hoteleros y Gastronómicos de la República Argentina.;www.uthgra.org.ar
14;GRÁFICOS; Federación Argentina de la Industria Gráfica y Afines.;www.faiga.com
15;HOTELES ALOJAMIENTO (CCT 127/90 y 397/01); Federación Argentina de Alojamiento por Horas.;www.fadaph.com.ar
16;LAVADEROS DE AUTOMOTORES; Cámara Argentina de Lavaderos Automáticos y Manuales de Automotores.;www.calama.com.ar
17;MADEREROS; Federación Argentina de la Industria Maderera.;www.faima.org.ar
18;MAESTRANZA; Sindicato de Obreros de Maestranza.;www.som.org.ar
19;METALÚRGICOS; Unión Obrera Metalúrgica de la República Argentina.;www.uom.com.ar
20;PAPELEROS; Federación de Obreros y Empleados de la Industria del Papel, Cartón y Químicos.;www.papeleros.org.ar
21;PASTELEROS - PIZZEROS - HELADEROS; Federación Argentina de Trabajadores Pasteleros, Confiteros, Heladeros, Pizzeros y Alfajoreros.;www.federacion.pasteleros.org.ar
22;PERFUMISTAS; Sindicato del Personal de la Industria Perfumista.;www.stp.org.ar
23;PERIODISTAS; Unión de Trabajadores de Prensa de Buenos Aires.;www.utpba.net
24;QUIMICOS; Cámara de la Industria Química y Petroquímica.;www.ciqyp.org.ar
25;SANIDAD; Federación de Asociaciones de Trabajadores de la Sanidad Argentina.;www.sanidad.org.ar
26;TELEVISION; Sindicato Argentino de Televisión.;www.satv.org.ar
27;TEXTILES; Sindicato de Empleados Textiles y Afines.;www.osetya.com.ar
28;VIAJANTES; Federación Unica de Viajantes de la República Argentina.;www.redsocial.fuva.org.ar
